state,city,center_num,center_avg,city_avg,Marks
MAHARASHTRA,LATUR,310926,255.5901234567901,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310927,263.5495049504951,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310928,242.33086419753087,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310929,252.80263157894737,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310930,257.92913385826773,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310931,269.72752808988764,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310932,284.69444444444446,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310933,259.48324022346367,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310934,258.8820224719101,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310935,260.5988023952096,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310936,259.1602564102564,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310937,238.28664495114006,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310938,251.57692307692307,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310939,254.89236111111111,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310940,252.89583333333334,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310941,264.6923076923077,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310942,259.7108013937282,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310943,247.2127659574468,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310944,269.82307692307694,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310945,284.9194915254237,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310946,263.0168776371308,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310947,261.9613733905579,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310948,256.8697478991597,260.65365080654993,202.28110229068648
MAHARASHTRA,LATUR,310949,271.2803347280335,260.65365080654993,202.28110229068648
